需求ID,角色,需求标题,需求描述,需求类型,当前状态,标签,界面入口,当前后端或存储实现,是否基于SQLite,是否硬编码,是否基于LocalStorage,是否需要Agent,Agent工作流设计,是否关联知识库,知识库设计说明,备注,需求处理动作,是否关联0618会议,0618会议新增说明,MVP范围,上线批次,优先级,合规或依赖说明,预估工时,计划开始时间,计划结束时间,排期波次,排期目标,代码实现状态,实现证据（代码/BDD/迁移）,实现活动时间范围（Git）,审计结论,Codex Token 输入（会话估算）,Codex Token 输出（会话估算）,Codex Token 总计（会话估算）,Token 数据质量,Codex 会话归因开始时间,Codex 会话归因结束时间,Codex 累计会话运行时长（小时）,会话归因人天（8小时）,工时数据质量,关联Bug数,关联Bug编号,最后审计时间,审计基线提交
US051,大V,持久化管理智能Dashboard草稿与发布版,作为大V，我希望对智能Dashboard的草稿、发布版、回滚版本和提示词槽位做正式增删改查，以便研究面板可以长期维护。,技术需求,已实现,Dashboard,工作台 dashboard / H5 基本面顶部,/api/tenant/<tenant_slug>/dashboard GET/POST + draft/published 双态持久化,否,部分,是,部分,读取配置 -> 生成建议卡片 -> 人工修改 -> 版本发布 -> 前台同步。,是,需支持 dashboard_config、dashboard_slot、dashboard_revision、published_snapshot。,智能 Dashboard 草稿与发布版已持久化管理,新增,否,这是本轮新增的支撑性需求，用于解决“有提示词展示、没正式配置资产”问题。,MVP核心,Batch 1（1个月内）,P0,依赖租户配置表、版本回滚和前台同步协议,9.0,2026-07-18,2026-07-30,W3 基本面与Dashboard,把基本面首页、智能看板、提示词配置从演示态拉到可配置态,已实现,src/domain/core_services.py；sql/postgres/*dashboard*.sql,2026-07-09 至 2026-09-18,智能Dashboard草稿/发布配置持久化。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US052,大V/运营,维护复盘内容库与发布配置,作为大V或运营，我希望对复盘内容的草稿、发布时间、摘要位、关联自选股和展示顺序做正式管理，以便复盘阅读能力不只停留在样本展示。,技术需求,部分实现,"复盘,发布",工作台复盘台 / 门户代表内容 / H5 复盘区,当前已有复盘 Draft、摘要与自选股归纳总结生成、用户视角预览、发布列表和向量入库；仍缺正式 review 内容库与发布计划配置,否,部分,部分,部分,草稿生成 -> 人工编辑 -> 绑定样本池/证据链 -> 发布调度 -> 前台同步。,是,需支持 review_draft、review_publish_plan、review_watchlist_binding、featured_review_slot。,复盘发布链路、内容落库与复盘详情已形成，但内容库运营与发布策略仍未完整产品化,新增,是,会议强调复盘是核心承接，但当前仍缺正式内容库与发布配置。,MVP核心,Batch 1（1个月内）,P0,依赖知识库、审核发布流和前台栏目编排,9.0,2026-08-23,2026-09-02,W5 复盘与知识库,把复盘生产、知识维护和内容发布库做成 MVP 可闭环状态,部分实现,src/domain/review_services.py；src/web/api_kol.py,2026-08-31 至 2026-09-18,复盘发布、富文本和图片已实现，内容库治理未完全验收。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US053,大V/运营,维护群发模板与发送任务,作为大V或运营，我希望管理群发模板、发送对象、定时任务和发送记录，以便群发提醒不只是一个模拟按钮。,技术需求,废弃,"消息,运营",原工作台 broadcast / 消息中心（当前未开放）,当前大V工作台已移除群发模板与发送任务入口，相关能力不再纳入本阶段交付,否,部分,否,部分,选择模板 -> 生成分层文案 -> 审核 -> 定时发送 -> 统计回写。,是,需支持 broadcast_template、audience_segment、send_task、delivery_log。,如后续重新启动消息中心，需要与统一消息模块一起重做，不延续当前残留设计,新增,否,这是本轮新增的支撑性需求，用于避免群发只停留在 demo。,MVP受限开放,Batch 1.5（灰度）,P1,依赖消息通道、模板审核和发送日志,7.5,2026-09-07,2026-09-17,W7 灰度互动一期,MVP 上线后灰度开放文件导入、消息处理与初级编排,废弃,需求表确认废弃；不维护独立群发模板任务。,不适用,由播报/消息能力取代。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US054,粉丝用户,在个股详情页留言互动,作为粉丝用户，我希望在个股详情页针对某只股票直接留言、追问和补充观点，以便围绕具体标的做更聚焦的互动。,业务需求,部分实现,"自选股,评论",H5 个股详情页 / 个股研究档案 / 投顾互动区,/api/watchlist/<stock_code>/comments GET/POST/DELETE + Postgres 评论存储,否,否,否,部分,留言提交 -> 股票实体绑定 -> 敏感表达检测 -> 通知大V -> 可选自动摘要/聚类。,是,可沉淀 stock_comment_thread、comment_intent、stock_faq、followup_template。,个股评论后端能力已具备，但前端交互与审核、开关策略仍在完善,新增,否,这是本轮新增补充，用于把互动从私信扩展到内容页上下文。,MVP受限开放,Batch 1.5（灰度）,P1,需接内容审核、股票对象绑定和留言限流策略,6.0,2026-09-07,2026-09-17,W7 灰度互动一期,MVP 上线后灰度开放文件导入、消息处理与初级编排,部分实现,src/web/api_core.py；src/domain/workbench_services.py,2026-08-26 至 2026-09-18,个股互动接口和分析存在，端到端留言审核需继续验收。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US055,粉丝用户,在复盘内容页留言互动,作为粉丝用户，我希望在复盘文章下直接留言、提问和讨论，以便围绕具体复盘内容继续追问主线、样本和验证节点。,业务需求,未完成,"复盘,评论",H5 复盘正文页 / 复盘分析报告页,当前复盘页只有阅读与跳转，没有文章级留言区、评论列表和回复链路,否,否,否,部分,评论提交 -> 复盘对象绑定 -> 敏感词/荐股风险检测 -> 通知大V -> 可选问题摘要。,是,可沉淀 review_comment_thread、common_question、reply_template、review_followup_topic。,这是挂在复盘正文下的评论能力，不应被泛消息能力替代。,新增,是,会议虽强调前期控制互动，但复盘是核心内容载体，后续灰度开放时应优先考虑内容上下文内留言。,MVP受限开放,Batch 1.5（灰度）,P1,需接内容审核、文章对象绑定、限流与审核机制,6.0,2026-09-07,2026-09-17,W7 灰度互动一期,MVP 上线后灰度开放文件导入、消息处理与初级编排,未完成,未找到复盘评论完整前台流程。,不适用,未实现。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US056,技术平台,维护个股与复盘留言线程及审核配置,作为技术平台，我希望对个股留言和复盘留言提供线程、回复、删除、置顶、审核、屏蔽和通知等正式 CRUD 与治理能力，以便内容级互动可控上线。,技术需求,部分实现,"评论,Admin",工作台留言管理 / Admin 审核配置 / H5 内容页,评论接口 + /api/tenant/<tenant_slug>/watchlist-comment-analytics + Admin/工作台统计入口,否,否,否,部分,内容对象绑定 -> 留言入队 -> 风险检测 -> 人工/自动审核 -> 通知/摘要 -> 沉淀 FAQ。,是,需支持 comment_thread、comment_message、moderation_event、content_binding、faq_from_comments。,线程、关键词分析与分布统计已有基础，但审核配置与复盘评论域仍未完全打通,新增,是,会议明确互动初期要克制，因此内容级留言必须带审核、限流和聚类治理能力。,MVP受限开放,Batch 1.5（灰度）,P1,依赖内容审核、租户权限、通知通道和评论对象模型设计,8.5,2026-09-07,2026-09-17,W7 灰度互动一期,MVP 上线后灰度开放文件导入、消息处理与初级编排,部分实现,src/domain/workbench_services.py；src/web/api_kol.py,2026-08-26 至 2026-09-18,部分评论/互动数据处理存在，线程和审核配置未完整验证。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US057,平台Admin,监控大模型 Token 与模型消耗,作为平台管理员，我希望在 admin 后台查看按功能、按模型、按小时/天/月的大模型 token 消耗与总量统计，以便评估成本和使用结构。,技术需求,已实现,"Admin,模型",/admin LLM 监控区,/api/admin/token-usage + Postgres token_usage_logs 聚合 + 模型/功能维度图表,否,否,否,否,,否,,已可看 Token、模型与 Hermes 使用统计；功能级模型映射仍需继续补强,新增,否,来自本轮新增需求：要看哪个模型消耗最大并做比较分析。,MVP核心,Batch 1（1个月内）,P0,依赖统一记录所有 LLM/embedding 调用日志,5.0,2026-06-23,2026-06-23,W1 基础底座,补齐大模型监控、成本与效率可观测性,已实现,src/domain/ai_services.py；src/web/api_kol.py,2026-08-29 至 2026-09-18,Hermes 使用统计与模型治理有数据接口。,14321,28472,42793,项目会话可见文本离线估算；82轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-06-07 23:17:45,2026-09-18 23:19:28,17.35,2.168,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US058,平台Admin,白盒查看与调整证据链过滤提示词,作为平台管理员，我希望在 admin 后台查看并调整知识过滤提示词与超时参数，以便监督大模型过滤逻辑并优化精准度。,技术需求,已实现,"Admin,证据链",/admin LLM 配置 / 证据链配置,site_config.evidence_chain(Postgres app_settings) + /api/evidence-chain/query + admin 配置保存,否,否,否,部分,需要,证据链工作流：召回候选 -> 大模型相关性过滤 -> 保留依据 -> 可选问答生成。,是,已支持 filter_prompt_system、filter_prompt_user_template、timeout 白盒配置与复用 API,新增,否,来自本轮新增需求：过滤能力提示词需要在 admin 可监督查看和修改。,MVP核心,Batch 1（1个月内）,P0,需和知识召回、问答生成、审计留痕统一口径,4.5,2026-06-23,2026-06-23,W1 基础底座,补齐大模型监控、成本与效率可观测性,已实现,src/runtime.py；src/domain/ai_services.py,2026-08-29 至 2026-09-18,Hermes 拦截配置与审计已实现。,1616,3879,5495,项目会话可见文本离线估算；19轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-06-07 16:53:47,2026-08-26 15:23:23,0.28,0.035,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US059,平台Admin/大V,共享用户导入服务,作为平台管理员或大V，我希望使用同一套用户导入服务完成模板下载、CSV 导入、单个新增和批量手工录入，以便统一管理用户资产。,业务需求,已实现,"用户,导入",/admin 用户管理 / 大V工作台粉丝管理,/api/admin/users* + /api/kol/users* + Postgres users 表 + 共用 CSV 模板与导入逻辑,否,否,否,否,,否,,admin 可导入粉丝/大V/admin；大V 仅可导入自己租户下粉丝,新增,否,来自本轮新增需求：admin 与大V后台都要有用户导入能力，但服务是同一个。,MVP核心,Batch 1（1个月内）,P0,需确保角色范围和租户归属校验正确,4.5,2026-06-23,2026-06-23,W1 基础底座,补齐用户资产导入与角色边界,已实现,src/web/api_core.py；src/domain/core_services.py；tests/test_fan_dav_relationship_regression_bdd.py,2026-09-17,Admin与大V复用用户管理及批量导入服务。,1556,8466,10022,项目会话可见文本离线估算；35轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-06-18 11:52:04,2026-09-17 13:27:09,0.81,0.102,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,1,BUG-010,2026-09-18,a8f48a9
US060,粉丝用户/大V,实时看到大模型执行进度,作为粉丝用户或大V，我希望在页面上实时看到大模型处理阶段、日志和状态，而不是只有等待，以便确认后台仍在工作中。,业务需求,已实现,"Agent,进度",H5 / 大V工作台 长任务面板,user_async_jobs(Postgres) + 前端进度面板 + 轮询状态展示,否,否,否,部分,需要,否,,长任务进度与 Hermes 思考过程已可视化，但不同能力的统一进度协议仍在演进,新增,否,来自本轮新增需求：不要只显示等待，需要明确看到后台还在工作。,MVP核心,Batch 1（1个月内）,P0,只展示进度与阶段，不暴露链路内部思考内容,4.0,2026-06-23,2026-06-23,W1 基础底座,补齐长任务可见性与交互反馈,已实现,src/web/api_core.py；src/domain/ai_services.py；SSE路由,2026-08-26 至 2026-09-18,部分模型任务支持进度/流式反馈。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US061,平台Admin/大V,弹框查看用户详情,作为平台管理员或大V，我希望点击用户后弹出详情页，查看角色、归属租户、等级和状态等信息，以便快速核对用户资产。,业务需求,已实现,"用户,弹窗",/admin 用户表 / 大V工作台粉丝表,前端详情弹框 + Postgres users 表 + 统一用户详情字段,否,否,否,否,,否,,admin 和大V 视角已统一保持一致,新增,否,来自本轮新增需求：点击用户详情，需要弹框详情页，大V后台也需一致。,MVP核心,Batch 1（1个月内）,P1,需保证不同角色下可见字段边界一致,2.5,2026-06-23,2026-06-23,W1 基础底座,补齐用户详情查看体验,已实现,templates/admin.html；templates/kol_workbench.html；src/web/api_core.py,2026-09-17,用户编辑与详情合为单页。,502,880,1382,项目会话可见文本离线估算；6轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-06-22 23:58:25,2026-09-17 11:19:15,0.06,0.008,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US062,平台Admin,功能开关联动左右菜单与模块归属,作为平台管理员，我希望功能开关不仅控制能力本身，也联动 admin 和大V后台左侧菜单显隐，并按模块归属统一管理，以便前后台口径一致。,技术需求,已实现,"配置,菜单",/admin 功能开关 / 大V工作台左侧菜单,feature_flags(Postgres app_settings) + 前端菜单过滤 + 模块归属映射,否,否,否,否,,否,,已处理会员关闭时隐藏积分管理和用户分层等归属关系,新增,否,来自本轮新增需求：所有功能都要在功能开关中有对应关系，并影响菜单展示。,MVP核心,Batch 1（1个月内）,P0,需持续维护模块归属映射和菜单协议一致性,4.0,2026-06-23,2026-06-23,W1 基础底座,补齐功能开关与前后台一致性控制,已实现,src/runtime.py；templates/admin.html；templates/h5.html,2026-07-12 至 2026-09-18,功能开关联动可见菜单/模块。,1797,14686,16483,项目会话可见文本离线估算；33轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-06-07 23:04:36,2026-09-17 02:12:36,2.00,0.251,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US063,技术平台,抽象独立证据链查询 API,作为技术平台，我希望把知识过滤与证据链查询抽象成独立 API，供 H5 dashboard、复盘等后续能力复用，以便统一查找依据和来源链路。,技术需求,已实现,"证据链,API",/api/evidence-chain/query,独立证据链 API + 知识召回 + 大模型过滤/问答复用链路,否,否,否,部分,需要,统一入口：query -> retrieve -> filter -> answer -> source attribution。,是,后续可扩展到股票复盘节点标注、证据链追踪和更多内容对象,新增,否,来自本轮新增需求：证据链能力建议抽象成独立 API 以便复用。,MVP核心,Batch 1（1个月内）,P0,需保持来源说明、过滤逻辑和问答口径统一,4.5,2026-06-23,2026-06-23,W1 基础底座,补齐证据链基础设施,已实现,src/web/api_kol.py；src/domain/knowledge_graph_services.py,2026-07-12 至 2026-09-18,知识查询和资产图谱有独立接口。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US064,平台产品,删除单一粗粒度 DM 开关设计,作为平台产品，我希望废弃仅用一个粗粒度 dm 开关覆盖全部消息互动的最终方案，以便避免复盘通知、群发和粉丝互动无法拆分治理。,业务需求,废弃,"消息,配置",Admin 功能开关,原始单一 dm 开关已确认废弃，不再作为最终产品设计目标,否,否,否,否,,否,,旧的粗粒度 DM 开关设计已不再采用，转向更细粒度的互动控制,删除,否,来自本轮新增需求：粉丝与大V互动需要独立功能开关，不能只靠一个总 dm 开关。,MVP核心,Batch 1（1个月内）,P0,涉及历史兼容与前端菜单联动策略,2.0,2026-06-23,2026-06-23,W1 基础底座,清理不再适用的粗粒度开关设计,废弃,需求表确认废弃。,不适用,不再采用粗粒度DM开关。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US065,平台Admin/大V,独立控制粉丝与大V互动开关,作为平台管理员或大V，我希望把粉丝与大V互动单独作为一个功能开关控制，以便在大V不想开放私信时，仍能保留复盘通知和群发消息能力。,业务需求,部分实现,"消息,配置",Admin 功能开关 / H5 消息入口 / 大V工作台消息区,当前尚未拆出 fan_interaction 等细粒度互动开关，且工作台消息区已下线；如重启需重新设计入口与权限联动,否,否,否,否,,否,,已有 fan_interaction 等开关基础，但粉丝/大V/粉丝互评的细粒度分拆仍未完全完成,新增,否,来自本轮新增需求：大V一开始并不希望粉丝给自己消息，怕回不过来。,MVP核心,Batch 1（1个月内）,P0,需与菜单显隐、消息接口权限和默认策略统一设计,3.5,2026-06-23,2026-06-23,W1 基础底座,补齐消息功能精细化控开,部分实现,src/runtime.py；src/web/api_core.py,2026-08-31 至 2026-09-18,粉丝/大V互动开关存在，全部互动路径需持续回归。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US066,大V/粉丝用户,统一消息模块,作为大V或粉丝用户，我希望消息模块统一包含复盘通知、群发消息和粉丝互动三类消息，并共享统计、历史记录和触达状态，以便形成完整消息中心。,业务需求,废弃,消息,H5 消息区 / 大V工作台消息中心 / 群发助手,当前消息、群发、复盘提醒仍未统一成正式线程/事件模型，且大V工作台消息/群发 UI 已移除,否,部分,部分,部分,需要,建议工作流：事件入库 -> 会话归并 -> 复盘通知/群发/互动分发 -> 状态回写 -> 后续统计与聚类。,是,“工作台消息中心 + 群发助手”的旧统一设计已被新的 H5 消息页口径替代,新增,否,来自本轮新增需求：完成整个消息模块制作，统一承接复盘消息通知、群发和互动消息。,MVP核心,Batch 1（1个月内）,P0,需和功能开关、用户归属、内容对象和统计口径一起落地,8.0,2026-06-23,2026-06-23,W1 基础底座,补齐统一消息中心与真实服务能力,废弃,需求表确认废弃。,不适用,采用现有消息与洞察能力。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US067,技术平台,将 app.py 入口化并拆分路由与领域层,作为技术平台，我希望 app.py 只保留入口职责，并先把页面路由和领域逻辑拆开，以便降低超大文件维护风险。,架构优化,已实现,架构,app.py / src/web / src/domain,app.py 已转为薄入口；路由拆到 src/web，领域逻辑拆到 src/domain，启动装配在 src/app_setup.py,否,部分,否,否,,否,,完成了第一层拆分，但 runtime/services 仍有全局聚合耦合,新增,否,来自本轮架构治理需求。,架构底座,架构增量,P0,后续仍需继续下沉数据库访问和外部依赖层,6.0,2026-07-12,2026-07-13,A1 应用分层,先把入口、路由、领域逻辑从超大单文件里拆出,已实现,src/app_setup.py；src/web/*；src/domain/*,2026-08-20 至 2026-09-18,入口、路由与领域服务已拆分。,13922,27039,40961,项目会话可见文本离线估算；62轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-05-27 13:55:31,2026-09-17 10:26:45,3.27,0.408,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US068,技术平台,下沉数据库访问层与外部依赖层,作为技术平台，我希望把数据库访问、第三方数据源和外部依赖继续从领域逻辑中下沉出来，以便形成更清晰的架构边界。,架构优化,部分实现,"架构,数据层",src/runtime.py / src/services.py / src/domain/*,已完成部分模块拆分，但数据库访问仍多处直接 psycopg2.connect，runtime/services 仍承担全局聚合作用,否,部分,否,否,,否,,runtime/domain 分层已推进，但基础设施层与外部依赖封装仍有继续拆分空间,新增,否,来自本轮架构治理需求。,架构底座,架构增量,P0,后续会直接影响扩容、可测性和故障隔离,8.0,2026-07-15,2026-07-20,A2 基础设施层,形成 infra/db、infra/llm、infra/market 等清晰边界,部分实现,src/domain/*；src/runtime.py,2026-08-20 至 2026-09-18,领域层与外部依赖已有分层，但连接池/供应商适配仍持续优化。,183,2040,2223,项目会话可见文本离线估算；5轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-07-09 15:48:37,2026-09-17 20:24:30,0.20,0.025,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US069,技术平台,将 Web 进程内后台线程改造为独立 Worker/Scheduler,作为技术平台，我希望把当前运行在 Web 进程里的后台轮询线程剥离成独立 Worker 或 Scheduler，以便支持多实例部署和安全扩容。,架构优化,未完成,"架构,Worker",src/domain/core_services.py,当前 task center 和 user_async_jobs 仍在 Web 进程内以 daemon thread 运行,否,否,否,否,,否,,这是当前承压和横向扩容的首要瓶颈,新增,否,来自本轮架构治理需求。,架构底座,架构增量,P0,建议与 user_async_jobs 表保留兼容，但消费逻辑迁移到独立进程,8.0,2026-07-21,2026-07-25,A3 Worker 化,拆出独立 Worker/Scheduler，避免多 worker 重复消费,部分实现,scripts/process_scheduler.py；scripts/process_worker.py；scripts/stop*.sh,2026-09-02 至 2026-09-16,独立Worker/Scheduler已引入，进程重复和性能问题仍需持续治理。,3469,15198,18667,项目会话可见文本离线估算；26轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-06-21 12:39:14,2026-09-17 12:42:55,1.10,0.138,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US070,技术平台,拆分 H5、工作台、Admin 巨石模板,作为技术平台，我希望把 H5、工作台和 Admin 的超大模板拆成模块化页面资源，以便降低前端改动风险并提升维护效率。,架构优化,未完成,"架构,前端",templates/h5.html / templates/kol_workbench.html / templates/admin.html,当前三大模板仍维持单文件大体量结构，内联脚本与样式较多,否,部分,部分,否,,否,,这是当前前端可维护性和多人并行开发的主要阻力之一,新增,否,来自本轮架构治理需求。,架构底座,架构增量,P1,建议先拆 partials、独立 JS/CSS，再评估是否前端框架化,10.0,2026-07-26,2026-08-02,A4 前端模块化,结束单模板上万行的巨石前端模式,未完成,templates/h5.html、templates/admin.html、templates/kol_workbench.html 仍为大型模板。,不适用,尚未完成巨石模板拆分。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US071,技术平台,完成架构评估与容量治理重构方案,作为技术平台，我希望对当前系统的通用性、可扩展性、承压能力和容量上限做系统评估，并形成后续重构方案。,架构优化,已实现,"架构,容量",docs/system_architecture_refactor_plan.md,已输出系统架构评估、分阶段重构方案、容量估算和目标架构建议文档,否,否,否,否,,否,,当前已完成方案设计，尚未进入后续实施阶段,新增,否,来自本轮架构治理需求。,架构底座,架构增量,P0,需要后续继续补压测、监控和生产部署方案,3.0,2026-07-15,2026-07-15,A0 评估,先形成可执行的架构治理蓝图,已实现,架构/发布/容量治理脚本及BDD；git 7ec7ecd,2026-09-02 至 2026-09-16,已有架构评估、进程生命周期和发布治理工作。,14716,61627,76342,项目会话可见文本离线估算；95轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-07-09 16:19:17,2026-09-17 20:24:30,8.89,1.112,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US072,技术平台,统一 Postgres 主库并清理 SQLite 残留口径,作为技术平台，我希望将系统口径统一到 Postgres 主库，并逐步清理历史 SQLite 表述与兼容残留，以便避免架构认知混乱。,架构优化,部分实现,"架构,Postgres",src/runtime.py / src/domain/core_services.py / CSV需求盘点,当前主要业务数据已切到 Postgres，但代码中仍保留部分 sqlite3 兼容导入与历史文档口径残留,否,部分,部分,否,,否,,主库口径已统一为 Postgres，但代码和文档中仍有少量 SQLite 历史表述需要继续清理,新增,否,来自本轮架构治理需求。,架构底座,架构增量,P1,需与 localStorage 后端迁移、文档同步更新一起推进,4.0,2026-07-15,2026-07-18,A1.5 数据口径统一,统一数据库口径，避免产品与技术文档继续写 SQLite,部分实现,sql/postgres；src/domain/core_services.py,2026-08-08 至 2026-09-18,主业务已使用Postgres；仍有兼容/回退代码需清理。,9336,48581,57917,项目会话可见文本离线估算；103轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-06-18 11:43:19,2026-09-18 00:36:06,4.12,0.516,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US073,粉丝用户/大V,管理 Hermes 新会话与历史会话,作为 Hermes 用户，我希望可以新建会话、查看历史会话并继续追问，以便把研究问题按主题持续沉淀。,业务需求,已实现,"Hermes,会话",H5 Hermes,/api/hermes/sessions + /api/hermes/sessions/<session_id> + hermes_conversation_turns,否,否,部分,是,会话装载 -> 记忆读取 -> 路由 -> 回答 -> 记忆回写,是,会话优先结合租户知识库与历史记忆。,已支持新会话入口、历史会话抽屉与继续问答。,新增需求，已落地,否,会话化是 Hermes 从单轮问答升级为长期助手的关键。,MVP核心,Batch 2（持续迭代）,P0,需与 Hermes 记忆治理和权限隔离联动,3.0,2026-07-20,2026-07-22,W5 Hermes 记忆与会话,完善会话管理与长期记忆承载,已实现,src/web/api_core.py；src/domain/ai_services.py,2026-08-31 至 2026-09-18,Hermes新建与历史会话已支持。,1901,7214,9115,项目会话可见文本离线估算；28轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-07-11 17:52:26,2026-09-18 23:08:19,0.94,0.117,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US074,平台Admin/大V,治理 Hermes 记忆备份与清理,作为平台管理员或租户管理员，我希望可以按时间范围预览、备份和清理 Hermes 记忆，以便满足治理、审计与容量控制需要。,技术需求,已实现,"Hermes,治理",/admin Hermes 记忆治理,/api/admin/hermes/memory-summary /memory-clear-preview /memory-backup /memory-clear,否,否,否,否,,否,,已支持按 1个月/3个月/6个月/1年/全部做预览、备份与清理。,新增需求，已落地,否,属于后续治理增强需求。,增强能力,Batch 2（持续迭代）,P1,需谨慎控制权限并保留审计信息,3.0,2026-07-20,2026-07-22,W5 Hermes 记忆与会话,形成 Hermes 记忆治理闭环,已实现,src/web/api_kol.py；src/domain/ai_services.py,2026-08-29 至 2026-09-18,记忆统计、备份/清理治理接口存在。,2182,11740,13921,项目会话可见文本离线估算；28轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-07-11 17:32:12,2026-09-14 15:22:33,0.59,0.074,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US075,平台Admin,查看 Hermes 使用统计与算力消耗,作为平台管理员，我希望看到 Hermes 的调用量、算力消耗、工具动作和用户排行，以便做模型治理和容量决策。,技术需求,部分实现,"Hermes,统计",/admin Hermes 使用统计,/api/admin/hermes/usage-stats + LLM usage aggregation,否,否,否,否,,否,,今日调用、本月调用、平均延迟等已有基础，但算力池与部分统计维度仍在完善。,新增需求，持续补齐,否,属于治理增强。,增强能力,Batch 2（持续迭代）,P1,需统一模型使用日志口径,2.5,2026-07-20,2026-07-25,W5 Hermes 记忆与会话,补齐 Hermes 运维与统计看板,部分实现,src/web/api_kol.py；src/domain/ai_services.py,2026-08-29 至 2026-09-18,使用统计有实现；逐需求Token审计不由应用层保存。,2132,3759,5891,项目会话可见文本离线估算；15轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-07-10 17:17:43,2026-08-26 15:39:57,0.30,0.038,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
